Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/faq/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,002,d002,t002,m002
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/faq/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&menu=1&wait=4000,002a,DNT,t002a,m002a
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/faq/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,002b,d002b,t002b,m002b
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/faq/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,002c,DNT,DNT,m002c
,/_sites/Sandostatin/sando-dtc.stage.calypso.novartis.episerverhosting.com/talking-about-your-symptoms/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,003,d003,t003,m003
http://sando-dtc.stage.calypso.novartis.episerverhosting.com,/404-error-page?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004,d004,t004,m004
