Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Tafinlar-Mekinist/tafinlarmekinist-day10.stage.calypso.novartis.episerverhosting.com/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Tafinlar-Mekinist/tafinlarmekinist-day10.stage.calypso.novartis.episerverhosting.com/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,002,d002,t002,m002
http://tafinlarmekinist-day10.stage.calypso.novartis.episerverhosting.com,/error-page/,003,d003,t003,m003
