Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Tykerb/www.us.tykerb.com/hr-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,000,d000,t000,m000
,/_sites/Tykerb/www.us.tykerb.com/hr-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001,d001,t001,m001
,/_sites/Tykerb/www.us.tykerb.com/hr-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,002,d002,t002,m002
